refcode,Density,smiles
TNITAN,1.861,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-]
UGUGIM,1.861,O=[N+]([O-])N1CN([N+](=O)[O-])C2C1N([N+](=O)[O-])CN2[N+](=O)[O-]
COYZEX,1.861,NC1=NN2N=NN=C2N=[N+]1[O-]
CIWMEA10,1.861,O=N(=O)N1CC(C1)(N(=O)=O)N(=O)=O
ELIGUD,1.858,O=[N+]([O-])OCn1nc([N+](=O)[O-])nc1-c1nc([N+](=O)[O-])nn1CO[N+](=O)[O-]
BEKKIO,1.858,O=N(=O)N(CN(C1=NON=C1C1=NNN=N1)N(=O)=O)C1=NON=C1C1=NNN=N1
CASYIG01,1.857,O=[N+]([O-])C(=C1NC(O)C(O)N1)[N+](=O)[O-]
TICJUN,1.857,O=N(=O)C1=CN(N=C1N1C=NN=N1)C(N(=O)=O)(N(=O)=O)N(=O)=O
ASUDEA,1.855,N#Cc1nn2nnc([N+](=O)[O-])c2nc1N
HIHZUT,1.855,O=c1[nH]c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2[nH]c1=O
VAZCAC01,1.855,Nn1nc([N+](=O)[O-])nc1[N+](=O)[O-]
REBNUK01,1.855,NC1=NC(=NO1)NCC(N(=O)=O)(N(=O)=O)N(=O)=O
CURTAN,1.854,[N-]=[N+]=NCN1C2C3N(CN=[N+]=[N-])C4C1N([N+](=O)[O-])C(C(N2[N+](=O)[O-])N3[N+](=O)[O-])N4[N+](=O)[O-]
MEQVAG,1.853,O=[N+]([O-])c1cc2c(no[n+]2[O-])n2nnnc12
TEVDOQ,1.853,Nc1nonc1-c1c(-c2nonc2[N+](=O)[O-])no[n+]1[O-]
VOGTAP,1.853,[N-]=[N+]=Nc1nnc2n[nH]c(=N[N+](=O)[O-])n2n1
DATNBZ01,1.853,Nc1c(cc(c(N)c1N(=O)=O)N(=O)=O)N(=O)=O
UKOHEK,1.852,[N-]=[N+]=Nc1n[n+]([O-])nc2c([N+](=O)[O-])n[nH]c12
WUBJAG,1.852,O=[N+]([O-])OC1C2CC3C(O[N+](=O)[O-])C(CC1C3([N+](=O)[O-])[N+](=O)[O-])C2([N+](=O)[O-])[N+](=O)[O-]
DUXTIZ,1.852,ONC(=O)C(=O)NO
XACCUC,1.85,O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)c1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
KEDKAI,1.85,O=N(=O)C1=NN(CC2=NN=NN2)C(=C1N=[N+]=[N-])N(=O)=O
XUMYEL,1.85,NN1C(=NN=C1CN1N=C(C(=C1N(=O)=O)N(=O)=O)N(=O)=O)CN1N=C(C(=C1N(=O)=O)N(=O)=O)N(=O)=O
